crop,year,quarter,production_mt,prod_norm
Coconut (w/ husk),2020,1,223361.94,-1.2058576091086732
Coconut (w/ husk),2020,2,227705.78,-1.121269392727661
Coconut (w/ husk),2020,3,343612.68,1.1358022160913492
Coconut (w/ husk),2020,4,304969.9,0.38330584509152943
Coconut (w/ husk),2021,1,217761.22,-1.3149212291428976
Coconut (w/ husk),2021,2,233329.31,-1.0117615903074257
Coconut (w/ husk),2021,3,353664.22,1.3315372893174349
Coconut (w/ husk),2021,4,311020.64,0.5011327688238139
Coconut (w/ husk),2022,1,219292.02,-1.2851117422290026
Coconut (w/ husk),2022,2,244389.2,-0.796390773594518
Coconut (w/ husk),2022,3,344161.15,1.1464826506926458
Coconut (w/ husk),2022,4,306824.42,0.4194191777748032
Coconut (w/ husk),2023,1,240484.61,-0.872425412024833
Coconut (w/ husk),2023,2,260114.02,-0.4901791090966383
Coconut (w/ husk),2023,3,351536.9,1.2901116832933521
Coconut (w/ husk),2023,4,336941.5,1.0058933756744182
Coconut (w/ husk),2024,1,233256.43,-1.0131807929506742
Coconut (w/ husk),2024,2,258634.3,-0.5189939078791238
Coconut (w/ husk),2024,3,363328.42,1.519729635432711
Coconut (w/ husk),2024,4,334446.14,0.9573008741945013
Coconut (w/ husk),2025,1,242700.45,-0.8292760434049703
Coconut (w/ husk),2025,2,266658.88,-0.3627301160712427
Coconut (w/ husk),2025,3,343385.7,1.1313822021511117
Palay,2020,1,252869.36,0.7941300431390458
Palay,2020,2,291502.52,1.5597729554587758
Palay,2020,3,110541.09,-2.026571943139808
Palay,2020,4,272182.28,1.1768789643817807
Palay,2021,1,269853.02,1.1307170296617148
Palay,2021,2,184348.22,-0.5638413261475436
Palay,2021,3,165482.22,-0.9377330601870064
Palay,2021,4,244689.68,0.6320228270313435
Palay,2022,1,261867.91,0.9724658569491176
Palay,2022,2,157409.81,-1.0977143690377167
Palay,2022,3,162073.97,-1.0052787244793842
Palay,2022,4,258992.96,0.9154892831774247
Palay,2023,1,259702.91,0.929559273455243
Palay,2023,2,171154.43,-0.8253195950785585
Palay,2023,3,163060.97,-0.9857180787941859
Palay,2023,4,250454.15,0.7462647269634151
Palay,2024,1,261675.59,0.9686544046915923
Palay,2024,2,156104.83,-1.1235768324685884
Palay,2024,3,168820.11,-0.8715818103124714
Palay,2024,4,241334.57,0.5655303063171944
Palay,2025,1,240529.9,0.5495831282386647
Palay,2025,2,171836.98,-0.8117926257650505
Palay,2025,3,159388.43,-1.0585015171981556
Palay,2025,4,231294.89,0.3665610831431611
Banana,2020,1,56137.65,-1.2476713974707305
Banana,2020,2,54258.05,-1.6419099379618958
Banana,2020,3,65255.57,0.6647756514307411
Banana,2020,4,58136.9,-0.8283367506964369
Banana,2021,1,59578.27,-0.5260151902007202
Banana,2021,2,55882.69,-1.3011482320544863
Banana,2021,3,65351.79,0.6849574094463085
Banana,2021,4,60528.11,-0.326790070334722
Banana,2022,1,58757.45,-0.6981788839685209
Banana,2022,2,52625.19,-1.9843957558095253
Banana,2022,3,62258.85,0.03622568385216817
Banana,2022,4,65286.04,0.6711666113843303
Banana,2023,1,66199.0,0.8626562995769319
Banana,2023,2,60173.36,-0.40119745607596535
Banana,2023,3,67742.22,1.186340487945083
Banana,2023,4,69054.21,1.461525113790479
Banana,2024,1,64260.89,0.45614552190544183
Banana,2024,2,60733.09,-0.2837963397378517
Banana,2024,3,69474.39,1.5496561788806977
Banana,2024,4,69793.97,1.6166867985711464
Banana,2025,1,60506.47,-0.3313289733014323
Banana,2025,2,61267.4,-0.17172696616377395
Banana,2025,3,64719.61,0.5523601969927519
Banana Saba,2020,1,43228.13,-0.31202240507068973
Banana Saba,2020,2,37587.91,-1.6023487717769849
Banana Saba,2020,3,45515.09,0.21117080150682507
Banana Saba,2020,4,37788.6,-1.5564364494678762
Banana Saba,2021,1,45999.43,0.3219744000278992
Banana Saba,2021,2,38914.48,-1.2988662394854127
Banana Saba,2021,3,44752.16,0.0366335148493497
Banana Saba,2021,4,39574.34,-1.147908518627927
Banana Saba,2022,1,47459.27,0.6559454229973073
Banana Saba,2022,2,37393.26,-1.6468793091105254
Banana Saba,2022,3,44067.8,-0.1199291285083778
Banana Saba,2022,4,44352.8,-0.05472900962803368
Banana Saba,2023,1,53315.25,1.9956317112812292
Banana Saba,2023,2,41646.27,-0.6739082298147641
Banana Saba,2023,3,48341.29,0.8577272084528912
Banana Saba,2023,4,47076.38,0.5683507790741673
Banana Saba,2024,1,51896.31,1.6710174773020166
Banana Saba,2024,2,42556.74,-0.46561787108849395
Banana Saba,2024,3,49460.89,1.1138607280965163
Banana Saba,2024,4,48122.93,0.8077724787732
Banana Saba,2025,1,48607.47,0.9186218317636632
Banana Saba,2025,2,42237.93,-0.5385527830191689
Banana Saba,2025,3,45721.94,0.2584923614731393
Corn,2020,1,10034.19,-1.4373889133746414
Corn,2020,2,21260.92,1.5074759520409862
Corn,2020,3,19915.58,1.154582055239491
Corn,2020,4,21912.14,1.6782963866337812
Corn,2021,1,8374.74,-1.8726764816081312
Corn,2021,2,18179.64,0.699230522382674
Corn,2021,3,18727.5,0.8429387673628782
Corn,2021,4,17926.69,0.6328796287825887
Corn,2022,1,9164.43,-1.6655342117245526
Corn,2022,2,17713.61,0.5769869685402246
Corn,2022,3,16211.56,0.18298673239866356
Corn,2022,4,15771.59,0.0675789337932894
Corn,2023,1,9086.93,-1.6858631077672748
Corn,2023,2,17599.58,0.5470759489821395
Corn,2023,3,17199.38,0.44210015290088195
Corn,2023,4,15432.45,-0.021380315289663016
Corn,2024,1,10642.93,-1.277711336896619
Corn,2024,2,15624.14,0.028901569644909912
Corn,2024,3,17187.31,0.43893409128493804
Corn,2024,4,15253.51,-0.06831776893978857
Corn,2025,1,10843.61,-1.2250713000210898
Corn,2025,2,17145.03,0.4278436948373723
Corn,2025,3,17284.72,0.4644855462981196
Corn,2025,4,13842.82,-0.43835351550118035
Coconut Sap/Tuba,2020,1,4376.91,-2.9330547106213656
Coconut Sap/Tuba,2020,2,5063.49,-1.4799693249684942
Coconut Sap/Tuba,2020,3,5763.13,0.0007563868468446906
Coconut Sap/Tuba,2020,4,5964.01,0.42590100549281307
Coconut Sap/Tuba,2021,1,5405.75,-0.7556065353539525
Coconut Sap/Tuba,2021,2,5582.13,-0.38231398339867617
Coconut Sap/Tuba,2021,3,5874.02,0.23544518992157362
Coconut Sap/Tuba,2021,4,6185.68,0.895045806444883
Coconut Sap/Tuba,2022,1,5428.99,-0.7064211463787823
Coconut Sap/Tuba,2022,2,5754.85,-0.01676749528372335
Coconut Sap/Tuba,2022,3,5825.08,0.1318680411933085
Coconut Sap/Tuba,2022,4,5648.48,-0.24189012115674194
Coconut Sap/Tuba,2023,1,6493.98,1.5475352823934674
Coconut Sap/Tuba,2023,2,6426.26,1.4042119372386255
Coconut Sap/Tuba,2023,3,5791.23,0.06022753272473932
Coconut Sap/Tuba,2023,4,5345.89,-0.8822948909500672
Coconut Sap/Tuba,2024,1,6167.2,0.8559345332839028
Coconut Sap/Tuba,2024,2,6235.74,1.0009933353647205
Coconut Sap/Tuba,2024,3,5595.36,-0.3543138673857034
Coconut Sap/Tuba,2024,4,5589.31,-0.3671181532419748
Coconut Sap/Tuba,2025,1,6280.0,1.09466568114962
Coconut Sap/Tuba,2025,2,6272.05,1.0778402146112123
Coconut Sap/Tuba,2025,3,5474.23,-0.6106747179262558
Banana Latundan,2020,1,4577.01,-1.0038454956768883
Banana Latundan,2020,2,5942.03,0.47740683577757864
Banana Latundan,2020,3,6878.22,1.493314016759805
Banana Latundan,2020,4,5846.54,0.37378580082527996
Banana Latundan,2021,1,4903.21,-0.649869355751871
Banana Latundan,2021,2,6034.44,0.5776856067477528
Banana Latundan,2021,3,7171.12,1.8111546402547083
Banana Latundan,2021,4,5679.85,0.1929020400524381
Banana Latundan,2022,1,3791.26,-1.8565026138439098
Banana Latundan,2022,2,4900.09,-0.6532550257597374
Banana Latundan,2022,3,6107.19,0.6566303160657939
Banana Latundan,2022,4,5320.94,-0.1965693774230011
Banana Latundan,2023,1,4308.6,-1.2951107799113268
Banana Latundan,2023,2,5480.85,-0.02304293801340636
Banana Latundan,2023,3,6592.18,1.1829175266796335
Banana Latundan,2023,4,5574.63,0.078722489338427
Banana Latundan,2024,1,4071.72,-1.5521612643547307
Banana Latundan,2024,2,5351.85,-0.16302737103096382
Banana Latundan,2024,3,6675.53,1.2733648328192717
Banana Latundan,2024,4,5573.41,0.07739860555329943
Banana Latundan,2025,1,3891.35,-1.7478898859312952
Banana Latundan,2025,2,5564.29,0.06750203168415131
Banana Latundan,2025,3,6311.64,0.8784893651389701
Abaca (dried raw fiber),2020,1,2244.27,-0.9693695482379459
Abaca (dried raw fiber),2020,2,3574.54,1.4337984477085672
Abaca (dried raw fiber),2020,3,3284.62,0.9100502872713527
Abaca (dried raw fiber),2020,4,3032.95,0.4554017651368544
Abaca (dried raw fiber),2021,1,2231.9,-0.9917162809387194
Abaca (dried raw fiber),2021,2,3551.65,1.3924470563164322
Abaca (dried raw fiber),2021,3,3340.24,1.0105292907327137
Abaca (dried raw fiber),2021,4,3043.88,0.47514709968976176
Abaca (dried raw fiber),2022,1,1645.38,-2.051280198776864
Abaca (dried raw fiber),2022,2,2850.68,0.126126181517611
Abaca (dried raw fiber),2022,3,3025.27,0.4415276416815642
Abaca (dried raw fiber),2022,4,2887.03,0.19179341948633663
Abaca (dried raw fiber),2023,1,1827.88,-1.7215891140645587
